潮汕频道,#genre#
汕头综合,http://113.66.229.117:8848/udp/239.77.1.130:5146
汕头综合,http://113.66.229.117:8848/udp/239.253.43.30:5146
汕头综合,http://113.66.229.117:8848/udp/239.253.43.45:5146
汕头综合,http://183.7.109.93:8088/udp/239.253.43.30:5146
汕头综合,http://183.7.109.93:8088/udp/239.253.43.45:5146
汕头综合,http://183.7.109.93:8088/udp/239.77.1.130:5146
汕头综合,http://113.65.9.61:4014/udp/239.253.43.30:5146
汕头综合,http://113.65.9.61:4014/udp/239.253.43.45:5146
汕头综合,http://113.65.9.61:4014/udp/239.77.1.130:5146
汕头综合,http://58.63.66.240:8888/udp/239.253.43.30:5146
汕头综合,http://58.63.66.240:8888/udp/239.253.43.45:5146
汕头综合,http://58.63.66.240:8888/udp/239.77.1.130:5146
汕头综合,http://61.144.101.109:8090/udp/239.253.43.30:5146
汕头综合,http://61.144.101.109:8090/udp/239.253.43.45:5146
汕头综合,http://61.144.101.109:8090/udp/239.77.1.130:5146
汕头综合,http://59.42.100.111:4022/udp/239.253.43.30:5146
汕头综合,http://59.42.100.111:4022/udp/239.253.43.45:5146
汕头综合,http://59.42.100.111:4022/udp/239.77.1.130:5146
汕头综合,http://106.111.244.23:3000/udp/239.253.43.30:5146
汕头综合,http://106.111.244.23:3000/udp/239.253.43.45:5146
汕头综合,http://106.111.244.23:3000/udp/239.77.1.130:5146
汕头综合,http://119.145.76.245:10000/udp/239.253.43.30:5146
汕头综合,http://119.145.76.245:10000/udp/239.253.43.45:5146
汕头综合,http://119.145.76.245:10000/udp/239.77.1.130:5146
汕头综合,http://14.145.128.28:4022/udp/239.253.43.30:5146
汕头综合,http://14.145.128.28:4022/udp/239.253.43.45:5146
汕头综合,http://14.145.128.28:4022/udp/239.77.1.130:5146
汕头综合,http://58.62.234.242:10000/udp/239.253.43.30:5146
汕头综合,http://58.62.234.242:10000/udp/239.253.43.45:5146
汕头综合,http://58.62.234.242:10000/udp/239.77.1.130:5146
汕头综合,http://113.111.16.104:8888/udp/239.253.43.30:5146
汕头综合,http://113.111.16.104:8888/udp/239.253.43.45:5146
汕头综合,http://113.111.16.104:8888/udp/239.77.1.130:5146
汕头综合,http://113.111.17.180:8888/udp/239.253.43.30:5146
汕头综合,http://113.111.17.180:8888/udp/239.253.43.45:5146
汕头综合,http://113.111.17.180:8888/udp/239.77.1.130:5146
汕头综合,http://125.94.180.231:8686/udp/239.253.43.30:5146
汕头综合,http://125.94.180.231:8686/udp/239.253.43.45:5146
汕头综合,http://125.94.180.231:8686/udp/239.77.1.130:5146
汕头综合,http://14.153.161.74:8888/udp/239.253.43.30:5146
汕头综合,http://14.153.161.74:8888/udp/239.253.43.45:5146
汕头综合,http://14.153.161.74:8888/udp/239.77.1.130:5146
汕头综合,http://183.15.121.8:9000/udp/239.253.43.30:5146
汕头综合,http://183.15.121.8:9000/udp/239.253.43.45:5146
汕头综合,http://183.15.121.8:9000/udp/239.77.1.130:5146
汕头综合,http://14.112.86.101:4022/udp/239.253.43.30:5146
汕头综合,http://14.112.86.101:4022/udp/239.77.1.130:5146
汕头综合,http://14.112.86.101:4022/udp/239.253.43.45:5146
汕头综合,http://183.7.107.140:8088/udp/239.253.43.30:5146
汕头综合,http://183.7.107.140:8088/udp/239.77.1.130:5146
汕头综合,http://183.7.107.140:8088/udp/239.253.43.45:5146
汕头综合,http://116.22.254.193:9999/udp/239.253.43.30:5146
汕头综合,http://116.22.254.193:9999/udp/239.77.1.130:5146
汕头综合,http://116.22.254.193:9999/udp/239.253.43.45:5146
汕头综合,http://116.28.99.104:10001/udp/239.253.43.30:5146
汕头综合,http://116.28.99.104:10001/udp/239.77.1.130:5146
汕头综合,http://116.28.99.104:10001/udp/239.253.43.45:5146
